,translation,zh,sim
17,其次，而民主和市场资本主义出现了清晰 - 如果比预期的更脆弱 - 获奖者于1989年，很难在2009年，随着全球金融危机的蔓延，从失败者区分开赢家。,其二，民主制度和市场资本主义，或许要比预期的要脆弱些，看来确实是当时的赢家。 而在2009年，随着全球危机的蔓延，却很难区分赢家和输家；,1
18,每个人似乎是一个失败者，即使有些是比其他人更受影响。,每个人似乎都是输家，即使有些国家比其它国家受到的影响更大。,1
19,然而，历史是不公平的，美国的，尽管它今天的全球危机更大的责任，可能比从泥沼大多数国家更好的状态出现。,而历史是不公平的。 尽管美国要为当今的全球危机负更大的责任，但美国可能会比大多数国家以更良好的势态走出困境。,1
20,在更好的形状，但并不孤单。,美国会恢复得更好，但并不是唯一能恢复的国家。,1
21,作为哈佛大学和麻省理工学院的客座教授，我得到的是什么，世界可以看，当危机最终通过是一个很好的预演。,作为哈佛大学和麻省理工学院的访问教授，我能看到危机过后的世界是什么样子的。,1
22,一个感觉像一个美国亚洲主导宇宙的决策。,我们能感受到一个美国和亚洲占主导地位的世界正在形成。,1
23,来自麻省理工学院的令人难以置信的媒体实验室的数学和经济学系在哈佛，亚洲人 - 中国和印度，尤其是 - 到处都是，就像罗马人在雅典在公元前一世纪：充满钦佩那些人，他们在学习如此多，而为之，他们将克服在未来几十年。,从一流的麻省理工学院的媒体实验室到哈佛大学的数学和经济系，亚洲人-尤其是中国和印度人-到处都是，犹如公元前一世纪在雅典的罗马人一样：他们对那里学到太多东西的人们充满了敬佩，而他们将在今后几十年打败他们学习的对象。,1
24,但似乎这一新秩序之前，世界可能面临无序蔓延，如果不彻底混乱。,但是，在这一新秩序的出现之前，世界可能会面临更广泛的混沌，如果不是彻底的混乱的话。,1
25,什么，例如，将发生在一个国家的中央和脆弱的埃及数千名埃及人在海湾地区工作的时候百被迫返回自己的家园作为石油生产国的危机的结果？,例如，对埃及这样一个重要而又脆弱的国家，有数十万的埃及人曾在海湾工作但现在因石油生产国出现的危机而被迫返回了自己的家园，那埃及会发生什么情况呢？,1
26,当富人获得较少的富人，穷人越来越穷。,当富人不再那么富了，穷人就会更穷。,1
27,又是怎么回事谁已经达到了“欧洲梦”，现在面临着在欧洲的所谓开放的国家仇外心理的潜在爆炸外来工？,还有，对于那些追求“欧洲梦”的外来工人，现在他们面临着理应是开放的欧洲国家的仇外心态可能的爆发，他们会有怎样的遭遇？,1
28,1989年的后果最终是那么持久比许多观察家，包括我在内，都会以为。,1989年革命所带来的成果，最后没有包括我在内许多观察家所想象的那么持久。,1
29,我们只能希望，在最后，2009年的结果同样证明是现在比我们少得多的戏剧性 - 直观，在我们的历史反射 - 觉得他们是。,我们只能希望2009年的危机同样地最后被证明是远远低于我们现在以直觉和历史回顾的方式��感觉到的那么剧烈。,1
30,在2008年失败怎么办？,2008年败在何处？,1
31,伯克利 - 为了解决一个问题，这是不够的，知道该怎么做。,伯克利—要解决问题，光知道做什么是不够的。,1
32,实际上，你必须实现的解决方案 - 并愿意当然改变，如果事实证明你不知道相当多像你想象的。,你实际上必须实施解决办法——并且在事实证明你知道的并不如你认为的那样多时，你得愿意改变办法。,1
33,这是最近两本书一起，告诉你，你需要知道的关于2008年金融危机的一切消息：什么原因引起的，有什么可以做，以防止它再次发生，为什么这些事情还没有做。,这就是两本新书一起告诉你的信息。 这两本新书讲述了你需要知道的关于2008年金融危机的一切：什么引起了金融危机，可以做什么防止它再次发生，以及为何这些事情还没有人去做。,1
34,第一本书是轮班和冲击，在保守的英国记者马丁·沃尔夫，谁编目工作设置了阶段为今天继续塑造世界经济灾难的重大转变开始。,第一本书是《变化和冲击》（The Shifts and the Shocks），作者是保守派英国记者马丁·沃尔夫（Martin Wolf）。 在书的开头，他对酝酿了至今仍在影响世界的这场经济灾难的重要变化做了归纳编目。,1
35,他的出发点是在财富世界上最富有的0.1％和0.01％，并为人们随之而来的压力，政府和企业承担的债务越来越不可持续的水平之间的巨大增长。,1%和0. 01%人群财富剧增，这给人民、政府和公司造成了日益不可持续的高负债的压力。,1
36,同时，政策制定者麻痹成被广泛接受的经济理论的自满情绪，如“有效市场假说”，即假设投资者理性行为和做决定时使用所有可用的信息。,与此同时，决策者因为“有效市场假说”等经济理论的广泛接受而志得意满，有效市场假说认为投资者的行为是理性的，在作出决策时会利用一切可获得的信心。,1
37,其结果是，市场管制放松，更容易进行交易的是被认为是安全资产，但实际上是没有。,结果，市场监管被放松，交易被认为安全但实际并不安全的资产变得更加容易。,1
38,其结果是，系统性风险激增超出央行的最疯狂的想象。,结果，系统性风险悄然酝酿，并且超过了央行官员最大胆的想象。,1
39,未经测试 - 最终不正确 ​​- 假设建立由什么只能被称为傲慢定义的政策制定环境。,未受检验并且最终错误的假设形成了一个只能用狂妄自大形容的决策环境。,1
40,官员低估尾部风险。,官员低估了尾部风险。,1
41,他们在％左右2设置的通胀目标 - 留下一点回旋的余地，当水了波涛汹涌。,它们将通胀目标设定在2%左右——这意味着当波涛汹涌时他们根本没有多少施展空间。,1
42,而且，最大胆的是，欧盟推出欧元作为共同货币。,此外，最大胆的动作要数欧盟引入欧元作为共同货币。,1
43,事实上，刚愎自用的决策继续长期危机开始之后。,事实上，方向错误的决策在危机开始后仍然能维持了很长时间。,1
44,政治家回答了尽可能地砍失败的处方经济状况恶化，确保做到不超过绝对必要的，以解决最大的经济灾难大萧条以来。,政客对恶化的经济条件的反应是坚定实施错误的药方，对于这场大萧条以来最严重的经济灾难，他们除了绝对需要做的事情意外什么都不做。,1
45,狼的处方对付危机是简单的，聪明的，无懈可击。,沃尔夫给抵御这场危机开出的药方简单、明智并且无懈可击。,1
46,在短期内，他认为与储备货币国家花费更多（尤其是资助公共部门投资）和发行更多的债务。,在短期，他建议拥有储备货币的国家增加支出（特别是公共部门投资融资）、发行更多债务。,1
47,这些国家的央行，他认为，应该提高通胀目标3％或每年甚至4％。,他指出，这些国家的央行应该将通胀目标提高到每年3%甚至4%。,1
48,从中期来看，根据狼，国家需要的地方，把监管措施降低债务水平并阻止过度杠杆化。,在中期，沃尔夫认为各国需要实施监管措施降低债务水平、阻止过度举债。,1
49,欧元区也必须解决其内部矛盾，或者通过解散或通过引入允许货币联盟正常运作“的制度和政策的最低限度”。,欧元区也必须解决其内部矛盾，要么通过解散欧元区实现，要么通过引入能令货币联盟正常运行的“最小限度的机构和政策组合”实现。,1
50,狼的长期解决方案包括解决不平等，“更多的全球监管，”更大程度的“自由单个国家凭自己的手艺回应，”和经济分析是崇信少的自由市场意识形态，导致我们进入危机摆在首位。,沃尔夫的长期解决方案包括遏制不平等、“更加全球化的监管”、更大程度的“个体国家自己决定反应方式的自由”以及更少受到自由市场思想束缚的经济分析。 一开始正是自由市场思想让我们陷入了危机。,1
51,然而，作为推荐为狼的建议可能是，几乎没有做什么来实现它们。,但是，尽管沃尔夫的方案值得推荐，但几乎没有任何实施。,1
52,，镜厅通过我的朋友，老师，靠山，巴里艾肯格林：为什么在第二本书中找到原因。,原因可以从第二本书中找到：由我的朋友、老师和“老板”巴里·艾肯格林（Barry Eichengreen）所著的《镜厅》（Hall of Mirrors）。,1
53,艾肯格林追溯我们的危机到货币主义经济学家的胜利不温不火的反应，米尔顿·弗里德曼的弟子，在他们的凯恩斯主义和Minskyite同行 - 至少当谈到大萧条的原因和后果的解释。,艾肯格林认为，我们对这场危机反应不温不火，原因要追溯到作为弗里德曼（MiltonFriedman）门徒的���币经济学家对凯恩斯主义和明斯基（MInskyite）主义同行的胜利——至少在解释大萧条的原因和后果方面是如此。,1
54,当2008年金融危机爆发时，政策制定者试图弗里德曼提出的解决方案适用于大萧条。,2008年金融危机爆发时，决策者试图使用弗里德曼提出的大萧条方案。,1
55,不幸的是，这竟然是错误的做法，因为大萧条的货币主义的解释是，说穿了，在显著方面错误的，根本不完整。,不幸的是，事实证明这是错的，直言不讳地说，货币主义者对大萧条的解释在众多方面都是错误的，并且非常不完整。,1
56,所得到的政策就足以阻止后的2008年经济衰退发展成一场全面的抑郁症;但部分成功的竟然是一个得不偿失的胜利，因为它允许政客们宣称危机已经克服，现在是时候拥抱紧缩和重点的结构性改革。,由此产生的政策足以阻止2008年后的衰退演变为完全的萧条； 但这一局部成功的代价也是巨大的，它让政客宣布危机已经被克服，应该采取紧缩并专注于结构改革。,1
57,其结果就是今天的经济停滞，通过威胁，成为新的正常增长乏力显着。,结果就是现在的经济停滞，其特征是增长无力并且随时可能成为新常态。,1
58,美国和欧洲的轨道上已失去了他们的潜在财富的10％，而未能加强金融部门监管已经离开暴露的又一重大危机的风险的世界经济。,美国和欧洲损失了10%的潜在财富，而没有强化金融部门监管让世界经济随时可能迎来新一场大危机。,1
59,狼和艾肯格林会同意，这导致了2008年金融危机的主要缺点 - 这继续支撑我们充分反应给它 - 是知识分子。,沃尔夫和艾肯格林会认为，导致2008年金融危机的主要缺陷——以及继续破坏我们对危机的不充分反应的主要缺陷——是知识缺陷。,1
60,事实上，危机爆发的唯一真正的教训，到目前为止似乎是它的经验教训将永远不会真正学到。,事实上，到目前为止，危机的唯一真正教训是它的教训从未被真正汲取。,1
61,东山再起策略欧洲,欧洲的重振战略,1
62,斯德哥尔摩/马德里 - 当方济各去年十一月向欧洲议会，他比较了欧盟的祖母 - 愉快和丰富的经验，但缺乏以往的生机和活力。,斯托克霍姆/马德里—去年11月，教皇方济各在其欧洲议会演讲中将欧盟比作祖母——和蔼而富于经验，但已不再有过去的活力和能量。,1
63,现在是时候，弗朗西斯认为，欧盟领导人摆脱他们想睡图像，识别战略挑战，欧洲面临的，并建立明确的政策为解决这些问题。,方济各说，现在是一个关键时刻，欧盟领导人必须摆脱懈怠形象，承认欧洲所面临的战略挑战，并构建应对挑战的明确政策。,1
64,诚然，教宗的特性在某些方面惊人的准确。,诚然，教皇的描述在某些角度讲非常准确。,1
65,但是，尽管它似乎精神不振，欧洲保留显著的优势。,但是，尽管欧洲看起来疲态尽露，但仍拥有巨大优势。 欧洲是高水平思想和创新的枢纽；,1
66,它是高层次的枢纽思想和创新;它是家庭对一些世界上最具竞争力的地区和行业的;并且，或许最令人印象深刻，它已经建立了一个社区和市场围绕一个半十亿人。,是世界最有竞争力地区和产业的所在地； 最重要的是，它还构建了一个由五亿人组成的社会和市场。,1
67,但是，世界正在发生变化：在亚太地区正日益影响全球的发展，经济和其他方面。,但世界正在变化：亚太地区正在日益影响全球经济和其他发展趋势。,1
68,跨太平洋伙伴关系 - 由美国和其他11个国家将建立一个大型区域自由贸易区 - 最有可能加速这一转变（更何况，如果中国最终加入）。,跨太平洋合作伙伴关系（Trans-Pacific Partnership，TPP，由美国和其他11国建立的巨型地区自由贸易区）很有可能加速这一变革（如果中国最终也能加入就更加如此了）。,1
69,尽管TPP面临的障碍要清除的协议完成之前不缺，它的潜力来增强亚洲的经济实力也不容小觑。,尽管TPP距离最终完成协议还有很多障碍需要跨越，但其扩大亚洲经济实力的潜力绝不容���觑。,1
70,欧洲必须努力，以确保在新的世界秩序中的地位 - 通过加强与美国自身的贸易和投资关系的开始。,欧洲必须致力于确保其在新世界秩序中的地位——首先要强化其自身与美国的贸易和投资联系。,1
71,问题是，随着TPP谈判的进展，对欧盟和美国大西洋贸易和投资伙伴关系（TTIP）的谈判已经变得如此深深地陷了进去国内争议，整个项目可能将被破坏。,在TPP谈判不断推进的同时，欧盟-美国跨大西洋贸易和投资伙伴关系（Transatlantic Trade and Investment Partnership，TTIP）谈判却深陷国内矛盾的掣肘，整个工程都有可能夭折。,1
72,在大西洋两岸的企业领导人深信，一个成功的TTIP协议将带来巨大的经济利益 - 一种看法认为，许多研究加强。,大西洋两岸的商业领袖相信，成功的TTIP协议将带来巨大的经济收益——许多研究都强化了这一感觉。,1
73,然而，琐碎的问题 - 例如，使用氯化鸡和投资者纠纷定居点 - 继续统治着争论。,但一些微妙的问题——比如“氯化鸡”（欧洲怀疑美国鸡肉进入市场前都用氯消毒）和投资者纠纷和解等问题——仍主导着争论。,1
74,该TTIP的目标是发挥跨大西洋经济的能力，这至今仍是世界上最大和最富有的市场，占全球金融活动的四分之三，超过一半的世界贸易。,TTIP的目标是释放跨大西洋经济的力量——目前大西洋两岸仍是世界最大最富有的市场，占全球金融活动的四分之三和世界贸易量的一大半。,1
75,（如果TTIP开放给其他经济体 - 如土耳其，墨西哥和加拿大 - 的收益会更大。）,（如果TTIP向其他经济体开放——比如土耳其、墨西哥和加拿大——则收益还将更大。 ）,1
76,甚至比实现协议的好处更引人注目，虽然是失败的潜在的灾难性的后果。,但是，比达成协议的好处更加让人感到必须成功的是谈判失败可能带来的灾难性结果。,1
77,对于初学者来说，TTIP谈判的崩溃会给相当大的弹药，那些在英国谁主张从欧盟撤出;相反，如果TTIP的顺利实施，英国将是不明智的 - 因此不可能 - 离开。,首先，TTIP谈判的破裂将极大地加强英国鼓吹离开欧盟阵营的力量； 反之，如果TTIP获得实施，英国离开欧盟将是不明智之举，因此也不会发生。,1
78,此外，人们认为欧盟内部争论已经导致其挥霍战略性机会可能会推动美国加快从欧洲大陆其脱离接触。,此外，欧洲的内讧导致其白白浪费了一个战略机会，这一感觉可能促使美国加速远离欧洲。,1
79,而俄罗斯总统普京总是会认为欧盟的失败作为一个重要的机会对欧洲施加部分影响更大。,而俄罗斯总统普京也必然会将欧洲的失败视为影响欧洲更多地区的良机。,1
80,所有这一切都有助于建立一个截然不同根本性的战略风险：如果TTIP摊位或崩溃，而TPP前进和成功，全球平衡将在亚洲的青睐强烈提示 - 和欧洲将有几个选项，如果有的话，恢复其经济和地缘政治影响力。,所有这些凸显出一个根本新战略风险：如果TTIP无法取得进展或失败，而TPP取得进展并成功，则全球平衡将朝着极有利于亚洲的方向发展——欧洲极有可能无法重振其经济和地缘政治影响力。,1
81,当第一次提出的TTIP，欧洲似乎认识到它的价值。,TTIP首次提出时，欧洲似乎能够认识到其价值。,1
82,事实上，这是推动美国，最初怀疑欧洲的承诺，以启动谈判进程在2013年6月欧盟。,事实上，是欧洲推动一开始对欧洲的承诺有所怀疑的美国在2013年6月启动了谈判程序。,1
83,志向是完成谈判“一箱油。”,当时人们雄心万丈，意图“一鼓作气”完成谈判。,1
84,没有人愿意忍受旷日持久的谈判 - 或相关的政治疼痛。,没人想让谈判长久拖延——或忍受因此带来的政治痛苦。,1
85,但是，欧盟领导人最终放弃了这一项目，似乎证实了美国的担忧。,但欧盟领导人在事实上抛弃了这一工程，而这也印证了美国的担心。,1
86,贸易谈判艰难地取得进展，而反全球化的团体占领了公共话语的控制，呈现TTIP以一切从欧洲民主的健康构成威胁。,贸易谈判在挣扎中前行，而反全球化组织掌握了公共观点的控制权，将TTIP描述为对一切事物的威胁——从欧洲的民主到欧洲的健康莫不如此。,1
87,这是不准确的危险谈话，欧盟领导人必须阻止它通过使该协议的战略情况下获得更多的牵引力。,这是非常危险的错误言论，欧盟领导人必须拿出推进TTIP的战略性理由，从而阻止这一言论获得更大的市场。,1
88,他们必须恢复其成功结束谈判在2015年的承诺。,他们还必须重振2015年成功完成谈判的承诺。,1
89,这并不是说，解决在TTIP谈判中的遗留问题将是简单的。,这并不是说解决TTIP谈判中仍然存在的问题轻而易举。,1
90,但是，建立一个贸易协定，特别是那种需要如此多的监管问题，总是很困难的，因为它必须考虑现代经济的复杂性和多变性。,但签订贸易协议，特别是包含如此多监管问题的贸易协议，永远不是件容易事，因为它必须考虑到现代经济的复杂性和易变性。,1
91,事实是，在完成TTIP固有的挑战并不比那些欧盟领导人面临在过去几年的危机更加棘手。,事实上，完成TTIP所包含的挑战并不比欧盟领导人在过去几年的危机中所遇到的挑战更棘手。,1
92,当TTIP谈判下月恢复，欧盟领导人必须推动真正的进展，将在今年年底完成交易的目标。,TTIP谈判将在下个月重启，届时欧盟领导人必须推动真正的进展，并以在年底完成协议为目标。,1
93,好消息是，在美国最近的中期选举可能提高了他们的机会。,好消息是最近的美国中期选举有可能增加他们成功的机会。,1
94,奥巴马总统现在可能会被所谓的快速通道，从国会谈判的权力。,现在，美国总统奥巴马可能将从国会获得所谓的快速谈判授权。,1
95,如果他这样做，国会就简单地批准或拒绝任何谈判达成协议，而不是分开采摘它。,果真如此的话，美国国会将对谈成的协议予以批准或否决，而不能束之高阁。,1
96,美国总统大选季节已经开始，并在新的一年里的其他问题可以很容易地接管了欧盟的议程。,美国总统竞选季即将来开帷幕，在新的一年里，其他问题可能轻而易举地取代欧盟日程。,1
97,这就是为什么欧洲领导人有没有时间可以浪费。,正因如此，欧洲领导人已无时间可以浪费。,1
98,他们必须抓住经济机会 - 和避免战略灾难。,他们必须抓住经济机会——并避免战略灾难。,1
99,当年那个截止时元？,标志着时代终结的一年？,1
100,马德里 -  2016即将结束，2017年的前景不确定性所笼罩。,马德里——随着2016年的结束，2017年的前景被不确定性所笼罩。,1
101,中东地区的紧张局势都在上涨，而民粹主义运动已经出现在欧洲和美国。,中东紧张局势正在加剧，欧洲和美国出现了民粹主义运动。,1
102,在中东，叙利亚的悲剧性冲突仍在继续，尽管在和解几个徒劳的尝试，这是由有关叙利亚总统巴沙尔·阿萨德的未来在任何和平进程或政治过渡角色的根本分歧毁损。,因为对叙利亚总统巴沙尔·阿萨德未来在和平进程或政治过渡中所起的作用存在根本性的分歧，在几次修复关系的努力无果而终后，中东的叙利亚悲剧性冲突仍将继续下去。,1
103,同时，在过去的一周，叙利亚政府军队，由俄罗斯和伊朗的支持下，已经夺回了几乎所有阿勒颇 - 一旦叙利亚最大的城市，现在完全被战争破坏。,此外，过去一周，叙利亚政府军在俄罗斯和伊朗的支持下，已经夺回了几乎整个阿勒颇——阿勒颇曾是叙利亚最大的城市，现在已经彻底毁灭在战火之中。,1
104,世界未来一年必须优先实现叙利亚的和平，这将需要密切的区域和国际合作。,世界各国来年的首要任务必须是通过密切的地区和国际合作来实现叙利亚和平。,1
105,12月27日，伊朗，俄罗斯和土耳其将在莫斯科举行的三方会议，讨论叙利亚冲突的政治解决。,12月27日，伊朗、俄罗斯和土耳其将在莫斯科举行三方会议，探讨政治解决叙利亚冲突。,1
106,那次会议，如果它发生，很可能是从俄罗斯驻土耳其大使暗杀的后果而蒙上阴影。,如果那次会议真的召开，也有可能笼罩在俄罗斯驻土耳其大使被杀的阴影当中。,1
107,但它是什么，如果不奇怪，这些政党，而不是美国和欧盟，将商签这个协议。,最出人意料的是居然是俄、伊、土三方，而非美国和欧盟，参与谈判这样的协定。,1
108,今年的一个积极的发展出现在3月份，当时欧盟与土耳其签署了一项协议，以解决难民危机。,今年的积极进展出现在3月份，当时欧盟和土耳其就解决难民危机的协议达成。,1
109,土耳其自冲突开始以来已经采取了三百万叙利亚难民。,从这次冲突开始到现在，土耳其已经接收了约300万叙利亚难民。,1
110,尽管欧盟与土耳其的关系目前还不在最佳状态，双方之间的对话必须继续在2017年，这不仅是因为他们的共同利益，这是基于不仅对经济的相互依存，同时也对难民危机和集体斗争反对恐怖主义。,尽管欧盟土耳其关系现在并不在历史高点，但双方必须在2017年继续对话，尤其因为双方拥有基于经济相互依存、难民危机及反恐集体斗争等诸多共同利益。,1
111,欧洲政治明年，同时，将由Brexit谈判消耗。,此外，英国退欧谈判将影响明年的欧洲政治。,1
112,今年三月，英国可能会调用里斯本条约第50条，引发了欧盟撤出的正式程序。,英国或将于3月启动《里斯本条约》第五十条，从而触发退出欧盟的正式程序。,1
113,我们面临的挑战将是达到这一保证未来的欧盟中英关系的福祉的协议。,难点在于就确保未来欧盟-英国关系健康发展达成一致。,1
114,这不会是容易的，和欧盟的谈判已经成立的只有18个月的时间表。,做到这一点绝非易事。 欧盟谈判人员已经制订了仅有18个月的时间表。,1
115,虽然仍有许多不确定的，清楚的是，如果英国想要保留进入欧洲单一市场，就必须接受欧盟的四大自由，其中包括工人的自由流动。,虽然不确定因素仍然很多，但有一点十分明确，即如果英国想要保留单一市场准入权，就必须接受包括劳动力自由流动在内的欧盟四项自由政策。,1
116,2017年，几个欧洲国家将举行大选，并有一个风险，即孤立主义，反欧洲的民粹主义运动将使强劲的表现。,有几个欧洲国家将在2017年举行大选，孤立主义者、反欧洲民粹运动或将在此期间表现强势。,1
117,对于欧盟失去一个国家的军事和经济重要的，因为英国是够糟的了;但失去了成立欧盟成员国，如法国，将是悲剧性的。,对欧盟而言，失去像英国这样在军事和经济上都很重要的国家无疑是一种打击； 但失去法国这样的创始成员国或将酿成悲剧性的后果。,1
118,幸运的是，许多欧洲人对欧盟的看法在Brexit公投的后果实际上提高。,幸运的是，许多欧洲人对欧盟的看法事实上在英国退欧公投后有改善的迹象。,1
119,但是，这不会减少在未来一年欧盟各国政府面临的挑战。,但这并不意味着欧盟政府在今后一年所面临的挑战减轻。,1
120,他们必须团结社会强大的全球力量，如全球化和快速的技术创新分。,他们必须重新团结被全球化和快速技术创新等强劲全球势力切割得四分五裂的社会。,1
121,该Brexit公投，其次是唐纳德·特朗普在美国总统大选的胜利，标志着民粹主义在西方的兴起。,英国退欧公投、而后是唐纳德·特朗普在美国总统大选中的获胜标志着西方民粹主义势力抬头。,1
122,但现在，特朗普是填补他的内阁与寡头和前军人，我们有理由怀疑他会信守诺言没有华盛顿执政“的建立。”,但现在，特朗普正在征召寡头和前军人进入其内阁，我们有理由质疑他是否会履行自己摆脱华盛顿“建制派”进行治理的承诺。,1
123,特朗普的下届政府是充满了未知数，但可以毫无疑问，他拒绝多边机构将危及国际努力，到世界上最大的问题的解决方案进行合作。,特朗普即将执政的新内阁充满了未知数，但毫无疑问他对多边机构的抗拒会危及合作解决全球最严重问题的工作。,1
124,这对于美欧关系的危险。,这必将对美国-欧盟关系构成威胁。,1
125,在过去几年中，巴黎的气候协议，并与伊朗核协议是在一个世界的光线关闭自动关机以多边主义。,过去几年，巴黎气候协议及伊朗核协议曾为这个远离多边主义的世界带来一线曙光。,1
126,在未来几年，这样的光线仍可能成为凤毛麟角。,而在未来几年，这样的曙光会变得越来越稀有。,1
127,现在比以往任何时候，我们需要构建大国之间战略互信的一种对话。,现在比以往任何时候都更需要在大国间建立战略互信的对话。,1
128,然而，特朗普的声明对美国继续遵守产生怀疑的“一个中国”政策面对面的人台湾可能会严重损坏了世界上最大的两个经济体之间的关系。,而特朗普质疑美国是否将继续坚持“一个中国”政策的声明极有可能严重损害世界两大经济体之间的关系。,1
129,同样，尽管亲俄倾向的一些中王牌的团队，美俄关系也缺乏战略互信，由于俄罗斯在叙利亚的军事干预，它的乌克兰东部的侵袭，其涉嫌在美国大选的干扰。,同样，尽管特朗普团队不乏一定程度的亲俄倾向，但因为俄罗斯军事入侵叙利亚、东乌克兰以及干涉美国大选的指控，美俄关系同样缺乏战略互信。,1
130,未来的一年将是欧洲尤为重要。,来年对欧洲而言尤其重要。,1
131,欧盟和美国之间的关系必须保持强劲，根植于对民主，自由和人权的相互尊重。,植根于对民主、自由和人权的共同尊重，欧盟和美国之间的关系必须保持稳固。,1
132,一个动荡的2016年，并在国际政治中的小的利好消息后，2017年被塑造是挑战和不确定性的一年。,在充满动荡的2016年后，因为国际政治中几乎鲜有积极消息，2017年注定充满挑战和不确定性。,1
133,但是，所有的最大的不确定因素是，这是否仅仅是一年的结束，或地缘政治时代的结束。,但最大的不确定性却是2016年仅仅是又一年的结束，还是整个地缘政治时代的终结。,1
134,对全球经济的另一个慢速年,全球经济缓慢增长又一年,1
135,华盛顿 - 去年四月，国际货币基金组织（IMF）预测，世界经济将3.5％，2015年增长。,华盛顿—去年4月，国际货币基金组织（IMF）预测2015年世界经济将增长3. 5%。,1
136,在随后的几个月里，这一预测正在稳步消减下来，十月份达到了3.1％。,在随后的几个月中，这一预测被逐步调低，10月份时下降到3.,1
137,但IMF继续坚持 - 因为它有，几乎平庸的可预测性，在过去七年 - 明年会更好。,1%。 但IMF仍然坚持——在过去七年中它一贯如此，几乎没有什么预见性可言——明年会更好。,1
138,但它几乎肯定是错的又一次。,但几乎可以肯定，IMF又错了。,1
139,对于初学者来说，世界贸易正以2％的贫血年增长率，相比之下，8％二〇〇三年至2007年。,首先，世界贸易年增长率只有区区2%，而2003—2007年间高达8%。,1
140,而在这些令人兴奋的年贸易增长远远超过了全球GDP，平均为4.5％，近来，贸易和GDP增长率一直差不多。,这几年中，贸易增长远远高于世界GDP（平均增长率为4. 5%），但最近贸易和GDP增长大致相当。,1
141,即使今年GDP增​​长超过了贸易增长，它可能会达到不超过2.7％。,即使今年GDP增长超过贸易增长，也可能无法超过2. 7%。,1
142,问题是为什么。,问题在于为什么。,1
